Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; DU
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; DU
3; 100.0; 0.0; 0.0; 80.0; Q
4; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 100.0; 0.0; 0.0; 80.0; N
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; Q
2; 100.0; 0.0; 0.0; 80.0; N
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 100.0; 0.0; 0.0; 80.0; N
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; Q
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 100.0; 0.0; 0.0; 80.0; N
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; R
3; 100.0; 0.0; 0.0; 80.0; DU
4; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 100.0; 0.0; 0.0; 80.0; END
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; DU
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; DU
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 100.0; 0.0; 0.0; 80.0; END
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; R
2; 100.0; 0.0; 0.0; 80.0; N
3; 100.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
