Doctor's Actions, pt_Trust, pt_Dist, pt_Aggr, pt_Talk, dialStatus
3, 80.0, 0.0, 0.0, 80.0, DU
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, DU
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, DU
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, N
3, 85.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, DU
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, N
3, 85.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, DU
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 85.0, 0.0, 0.0, 80.0, R
2, 90.0, 5.5, 5.5, 80.0, N
3, 90.0, 0.0, 5.5, 80.0, N
4, 90.0, 0.0, 5.5, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 85.0, 5.5, 5.5, 80.0, N
2, 85.0, 5.5, 5.5, 80.0, N
3, 85.0, 5.5, 5.5, 80.0, N
1, 85.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, N
3, 85.0, 0.0, 0.0, 80.0, N
1, 85.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, N
3, 85.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 85.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, N
3, 85.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, N
3, 85.0, 0.0, 0.0, 80.0, R
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 5.5, 5.5, 80.0, N
3, 85.0, 5.5, 5.5, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 5.5, 5.5, 80.0, N
3, 85.0, 5.5, 5.5, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, Q
3, 80.0, 0.0, 0.0, 80.0, END
1, 85.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, R
3, 85.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, DU
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
4, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, R
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, Q
3, 80.0, 0.0, 0.0, 80.0, DU
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 5.5, 5.5, 80.0, N
3, 85.0, 5.5, 5.5, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, Q
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, DU
1, 85.0, 5.5, 5.5, 80.0, R
2, 85.0, 5.5, 5.5, 80.0, N
3, 85.0, 5.5, 5.5, 80.0, N
4, 85.0, 5.5, 5.5, 80.0, Q
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 5.5, 5.5, 80.0, DU
3, 85.0, 5.5, 5.5, 80.0, N
4, 85.0, 5.5, 5.5, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, DU
2, 80.0, 0.0, 0.0, 80.0, END
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 5.5, 5.5, 80.0, N
3, 85.0, 5.5, 5.5, 80.0, N
1, 85.0, 0.0, 0.0, 80.0, R
2, 85.0, 0.0, 0.0, 80.0, N
3, 85.0, 0.0, 0.0, 80.0, R
4, 85.0, 0.0, 0.0, 80.0, DU
1, 80.0, 0.0, 0.0, 80.0, Q
2, 85.0, 0.0, 0.0, 80.0, END
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 85.0, 0.0, 0.0, 80.0, R
2, 85.0, 0.0, 0.0, 80.0, N
3, 90.0, 5.5, 5.5, 80.0, DU
4, 90.0, 5.5, 5.5, 80.0, N
5, 90.0, 5.5, 5.5, 80.0, R
1, 80.0, 0.0, 0.0, 80.0, R
2, 80.0, 0.0, 0.0, 80.0, DU
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, N
3, 85.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, R
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, DU
1, 85.0, 5.5, 5.5, 80.0, R
2, 85.0, 0.0, 5.5, 80.0, N
3, 85.0, 0.0, 5.5, 80.0, N
4, 85.0, 0.0, 5.5, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, R
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, R
2, 80.0, 0.0, 0.0, 80.0, DU
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, R
3, 85.0, 0.0, 0.0, 80.0, N
4, 85.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, Q
3, 80.0, 0.0, 0.0, 80.0, N
1, 85.0, 0.0, 0.0, 80.0, N
2, 85.0, 0.0, 0.0, 80.0, N
3, 85.0, 0.0, 0.0, 80.0, DU
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 85.0, 5.5, 5.5, 80.0, N
3, 85.0, 5.5, 5.5, 80.0, N
1, 85.0, 5.5, 5.5, 80.0, N
2, 85.0, 5.5, 5.5, 80.0, N
3, 85.0, 5.5, 5.5, 80.0, DU
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
1, 80.0, 0.0, 0.0, 80.0, N
2, 80.0, 0.0, 0.0, 80.0, N
3, 80.0, 0.0, 0.0, 80.0, N
