Doctor's Actions, pt_Trust, pt_Dist, pt_Aggr, pt_Talk, dialStatus
6, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, Q
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, N
4, 10.0, 100.0, 99.80000000000001, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, Q
3, 5.0, 100.0, 100.0, 80.0, N
4, 5.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, DU
6, 5.0, 100.0, 100.0, 80.0, N
7, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, R
3, 15.0, 100.0, 99.80000000000001, 80.0, END
4, 15.0, 100.0, 99.80000000000001, 80.0, DU
5, 15.0, 100.0, 99.80000000000001, 80.0, END
6, 10.0, 100.0, 100.0, 80.0, DU
7, 5.0, 100.0, 100.0, 80.0, R
8, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, DU
3, 15.0, 100.0, 99.80000000000001, 80.0, END
4, 15.0, 100.0, 99.80000000000001, 80.0, N
5, 10.0, 100.0, 100.0, 80.0, DU
6, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, R
4, 10.0, 100.0, 100.0, 80.0, DU
5, 10.0, 100.0, 100.0, 80.0, END
6, 10.0, 100.0, 100.0, 80.0, DU
7, 10.0, 100.0, 100.0, 80.0, END
8, 5.0, 100.0, 100.0, 80.0, Q
9, 0.0, 100.0, 100.0, 80.0, DU
10, 0.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, DU
4, 10.0, 100.0, 100.0, 80.0, END
5, 10.0, 100.0, 100.0, 80.0, R
6, 10.0, 100.0, 100.0, 80.0, N
7, 5.0, 100.0, 100.0, 80.0, DU
8, 0.0, 100.0, 100.0, 80.0, R
9, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, Q
3, 15.0, 100.0, 99.80000000000001, 80.0, N
4, 15.0, 100.0, 99.80000000000001, 80.0, DU
5, 15.0, 100.0, 99.80000000000001, 80.0, N
6, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, DU
6, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, R
3, 15.0, 100.0, 99.80000000000001, 80.0, DU
4, 15.0, 100.0, 100.0, 80.0, END
5, 15.0, 100.0, 100.0, 80.0, Q
6, 15.0, 100.0, 100.0, 80.0, N
7, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, R
3, 15.0, 100.0, 99.80000000000001, 80.0, N
4, 15.0, 100.0, 99.80000000000001, 80.0, DU
5, 15.0, 100.0, 99.80000000000001, 80.0, END
6, 10.0, 100.0, 100.0, 80.0, R
7, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, Q
2, 10.0, 98.0, 98.0, 80.0, DU
3, 5.0, 100.0, 100.0, 80.0, END
4, 5.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, N
6, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, N
4, 10.0, 100.0, 99.80000000000001, 80.0, DU
5, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, DU
3, 15.0, 100.0, 99.80000000000001, 80.0, N
4, 15.0, 100.0, 99.80000000000001, 80.0, DU
5, 15.0, 100.0, 99.80000000000001, 80.0, END
6, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, DU
3, 5.0, 100.0, 100.0, 80.0, END
4, 5.0, 100.0, 100.0, 80.0, DU
5, 5.0, 100.0, 100.0, 80.0, Q
6, 5.0, 100.0, 100.0, 80.0, DU
7, 5.0, 100.0, 100.0, 80.0, R
8, 5.0, 100.0, 100.0, 80.0, N
9, 5.0, 100.0, 100.0, 80.0, N
10, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, R
3, 15.0, 100.0, 99.80000000000001, 80.0, N
4, 15.0, 100.0, 99.80000000000001, 80.0, DU
5, 15.0, 100.0, 99.80000000000001, 80.0, R
6, 15.0, 100.0, 99.80000000000001, 80.0, DU
7, 15.0, 100.0, 99.80000000000001, 80.0, R
8, 15.0, 100.0, 99.80000000000001, 80.0, N
9, 10.0, 100.0, 100.0, 80.0, DU
10, 5.0, 100.0, 100.0, 80.0, R
11, 0.0, 100.0, 100.0, 80.0, DU
12, 0.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, Q
2, 10.0, 98.0, 98.0, 80.0, R
3, 5.0, 100.0, 100.0, 80.0, DU
4, 0.0, 100.0, 100.0, 80.0, R
5, 0.0, 100.0, 100.0, 80.0, N
6, 0.0, 100.0, 100.0, 80.0, R
7, 0.0, 100.0, 100.0, 80.0, END
8, 0.0, 100.0, 100.0, 80.0, R
9, 0.0, 100.0, 100.0, 80.0, END
10, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, DU
4, 10.0, 100.0, 100.0, 80.0, R
5, 10.0, 100.0, 100.0, 80.0, DU
6, 10.0, 100.0, 100.0, 80.0, N
7, 10.0, 100.0, 100.0, 80.0, N
8, 5.0, 100.0, 100.0, 80.0, DU
9, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, N
4, 10.0, 100.0, 99.80000000000001, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, DU
5, 10.0, 100.0, 100.0, 80.0, END
6, 5.0, 100.0, 100.0, 80.0, DU
7, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, R
4, 10.0, 100.0, 100.0, 80.0, N
5, 10.0, 100.0, 100.0, 80.0, N
6, 5.0, 100.0, 100.0, 80.0, Q
7, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, DU
3, 15.0, 100.0, 99.80000000000001, 80.0, R
4, 15.0, 100.0, 100.0, 80.0, Q
5, 15.0, 100.0, 100.0, 80.0, R
6, 15.0, 100.0, 100.0, 80.0, N
7, 15.0, 100.0, 100.0, 80.0, N
8, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, R
3, 15.0, 100.0, 99.80000000000001, 80.0, END
4, 15.0, 100.0, 99.80000000000001, 80.0, DU
5, 15.0, 100.0, 99.80000000000001, 80.0, END
6, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, DU
3, 5.0, 100.0, 100.0, 80.0, END
4, 5.0, 100.0, 100.0, 80.0, R
5, 5.0, 100.0, 100.0, 80.0, N
6, 5.0, 100.0, 100.0, 80.0, N
7, 0.0, 100.0, 100.0, 80.0, Q
8, 0.0, 100.0, 100.0, 80.0, DU
9, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, DU
4, 15.0, 100.0, 94.4, 80.0, END
5, 10.0, 100.0, 99.80000000000001, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, DU
5, 10.0, 100.0, 100.0, 80.0, R
6, 10.0, 100.0, 100.0, 80.0, N
7, 5.0, 100.0, 100.0, 80.0, R
8, 0.0, 100.0, 100.0, 80.0, DU
9, 0.0, 100.0, 100.0, 80.0, R
10, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, R
3, 5.0, 100.0, 100.0, 80.0, DU
4, 0.0, 100.0, 100.0, 80.0, END
5, 0.0, 100.0, 100.0, 80.0, Q
6, 0.0, 100.0, 100.0, 80.0, DU
7, 0.0, 100.0, 100.0, 80.0, Q
8, 0.0, 100.0, 100.0, 80.0, N
9, 0.0, 100.0, 100.0, 80.0, DU
10, 0.0, 100.0, 100.0, 80.0, N
11, 0.0, 100.0, 100.0, 80.0, DU
12, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, R
3, 5.0, 100.0, 100.0, 80.0, DU
4, 0.0, 100.0, 100.0, 80.0, END
5, 0.0, 100.0, 100.0, 80.0, DU
6, 0.0, 100.0, 100.0, 80.0, N
7, 0.0, 100.0, 100.0, 80.0, N
8, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, DU
4, 10.0, 100.0, 100.0, 80.0, N
5, 10.0, 100.0, 100.0, 80.0, DU
6, 10.0, 100.0, 100.0, 80.0, R
7, 10.0, 100.0, 100.0, 80.0, N
8, 5.0, 100.0, 100.0, 80.0, DU
9, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, DU
4, 15.0, 100.0, 94.4, 80.0, N
5, 10.0, 100.0, 99.80000000000001, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, DU
3, 15.0, 100.0, 99.80000000000001, 80.0, Q
4, 15.0, 100.0, 100.0, 80.0, N
5, 15.0, 100.0, 100.0, 80.0, Q
6, 15.0, 100.0, 100.0, 80.0, N
7, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, DU
4, 15.0, 100.0, 94.4, 80.0, N
5, 10.0, 100.0, 99.80000000000001, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, R
3, 5.0, 100.0, 100.0, 80.0, DU
4, 0.0, 100.0, 100.0, 80.0, END
5, 0.0, 100.0, 100.0, 80.0, N
6, 0.0, 100.0, 100.0, 80.0, DU
7, 0.0, 100.0, 100.0, 80.0, N
8, 0.0, 100.0, 100.0, 80.0, DU
9, 0.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, DU
4, 15.0, 100.0, 94.4, 80.0, N
5, 10.0, 100.0, 99.80000000000001, 80.0, DU
6, 5.0, 100.0, 100.0, 80.0, Q
7, 0.0, 100.0, 100.0, 80.0, DU
8, 0.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, R
4, 15.0, 100.0, 94.4, 80.0, END
5, 10.0, 100.0, 99.80000000000001, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, R
3, 15.0, 100.0, 99.80000000000001, 80.0, DU
4, 15.0, 100.0, 100.0, 80.0, END
5, 15.0, 100.0, 100.0, 80.0, R
6, 15.0, 100.0, 100.0, 80.0, DU
7, 15.0, 100.0, 100.0, 80.0, N
8, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, DU
6, 0.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, R
6, 0.0, 100.0, 100.0, 80.0, Q
7, 0.0, 100.0, 100.0, 80.0, DU
8, 0.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, DU
3, 15.0, 100.0, 99.80000000000001, 80.0, END
4, 15.0, 100.0, 99.80000000000001, 80.0, DU
5, 15.0, 100.0, 99.80000000000001, 80.0, END
6, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, DU
4, 15.0, 100.0, 94.4, 80.0, R
5, 15.0, 100.0, 94.4, 80.0, END
6, 10.0, 100.0, 99.80000000000001, 80.0, R
7, 5.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, Q
4, 10.0, 100.0, 100.0, 80.0, END
5, 10.0, 100.0, 100.0, 80.0, R
6, 10.0, 100.0, 100.0, 80.0, END
7, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, Q
4, 10.0, 100.0, 100.0, 80.0, N
5, 10.0, 100.0, 100.0, 80.0, Q
6, 10.0, 100.0, 100.0, 80.0, R
7, 10.0, 100.0, 100.0, 80.0, END
8, 5.0, 100.0, 100.0, 80.0, R
9, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, DU
3, 5.0, 100.0, 100.0, 80.0, END
4, 5.0, 100.0, 100.0, 80.0, DU
5, 5.0, 100.0, 100.0, 80.0, END
6, 5.0, 100.0, 100.0, 80.0, R
7, 5.0, 100.0, 100.0, 80.0, N
8, 0.0, 100.0, 100.0, 80.0, R
9, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, DU
4, 10.0, 100.0, 100.0, 80.0, R
5, 10.0, 100.0, 100.0, 80.0, END
6, 10.0, 100.0, 100.0, 80.0, DU
7, 10.0, 100.0, 100.0, 80.0, R
8, 10.0, 100.0, 100.0, 80.0, N
9, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, Q
6, 0.0, 100.0, 100.0, 80.0, R
7, 0.0, 100.0, 100.0, 80.0, DU
8, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, R
4, 10.0, 100.0, 100.0, 80.0, Q
5, 10.0, 100.0, 100.0, 80.0, END
6, 10.0, 100.0, 100.0, 80.0, N
7, 5.0, 100.0, 100.0, 80.0, R
8, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, Q
3, 5.0, 100.0, 100.0, 80.0, R
4, 0.0, 100.0, 100.0, 80.0, Q
5, 0.0, 100.0, 100.0, 80.0, N
6, 0.0, 100.0, 100.0, 80.0, N
7, 0.0, 100.0, 100.0, 80.0, DU
8, 0.0, 100.0, 100.0, 80.0, END
9, 0.0, 100.0, 100.0, 80.0, DU
10, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, DU
3, 15.0, 100.0, 99.80000000000001, 80.0, END
4, 15.0, 100.0, 99.80000000000001, 80.0, DU
5, 15.0, 100.0, 99.80000000000001, 80.0, END
6, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, Q
3, 5.0, 100.0, 100.0, 80.0, DU
4, 0.0, 100.0, 100.0, 80.0, R
5, 0.0, 100.0, 100.0, 80.0, N
6, 0.0, 100.0, 100.0, 80.0, N
7, 0.0, 100.0, 100.0, 80.0, DU
8, 0.0, 100.0, 100.0, 80.0, END
9, 0.0, 100.0, 100.0, 80.0, R
10, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, DU
3, 5.0, 100.0, 100.0, 80.0, END
4, 5.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, DU
6, 5.0, 100.0, 100.0, 80.0, END
7, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, DU
6, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, Q
2, 10.0, 98.0, 98.0, 80.0, DU
3, 5.0, 100.0, 100.0, 80.0, N
4, 5.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, DU
6, 5.0, 100.0, 100.0, 80.0, END
7, 0.0, 100.0, 100.0, 80.0, Q
8, 0.0, 100.0, 100.0, 80.0, DU
9, 0.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, DU
5, 10.0, 100.0, 100.0, 80.0, R
6, 10.0, 100.0, 100.0, 80.0, DU
7, 10.0, 100.0, 100.0, 80.0, END
8, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, Q
2, 10.0, 98.0, 98.0, 80.0, DU
3, 5.0, 100.0, 100.0, 80.0, R
4, 0.0, 100.0, 100.0, 80.0, N
5, 0.0, 100.0, 100.0, 80.0, N
6, 0.0, 100.0, 100.0, 80.0, DU
7, 0.0, 100.0, 100.0, 80.0, END
8, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, Q
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, DU
6, 0.0, 100.0, 100.0, 80.0, R
7, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, N
4, 10.0, 100.0, 100.0, 80.0, Q
5, 10.0, 100.0, 100.0, 80.0, N
6, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, N
4, 10.0, 100.0, 99.80000000000001, 80.0, Q
5, 5.0, 100.0, 100.0, 80.0, DU
6, 0.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, Q
2, 10.0, 98.0, 98.0, 80.0, DU
3, 5.0, 100.0, 100.0, 80.0, N
4, 5.0, 100.0, 100.0, 80.0, N
5, 5.0, 100.0, 100.0, 80.0, R
6, 5.0, 100.0, 100.0, 80.0, END
7, 0.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, R
4, 10.0, 100.0, 100.0, 80.0, Q
5, 10.0, 100.0, 100.0, 80.0, DU
6, 10.0, 100.0, 100.0, 80.0, END
7, 10.0, 100.0, 100.0, 80.0, N
8, 5.0, 100.0, 100.0, 80.0, Q
9, 0.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, DU
4, 15.0, 100.0, 94.4, 80.0, END
5, 10.0, 100.0, 99.80000000000001, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, N
4, 10.0, 100.0, 99.80000000000001, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, N
4, 10.0, 100.0, 99.80000000000001, 80.0, Q
5, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, DU
3, 15.0, 100.0, 99.80000000000001, 80.0, N
4, 15.0, 100.0, 99.80000000000001, 80.0, DU
5, 15.0, 100.0, 99.80000000000001, 80.0, N
6, 10.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 15.0, 100.0, 94.4, 80.0, DU
4, 15.0, 100.0, 94.4, 80.0, N
5, 10.0, 100.0, 99.80000000000001, 80.0, R
6, 5.0, 100.0, 100.0, 80.0, END
1, 15.0, 89.0, 89.0, 80.0, DU
2, 10.0, 98.0, 98.0, 80.0, N
3, 10.0, 100.0, 100.0, 80.0, DU
4, 10.0, 100.0, 100.0, 80.0, N
5, 10.0, 100.0, 100.0, 80.0, N
6, 5.0, 100.0, 100.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, R
2, 10.0, 98.0, 98.0, 80.0, END
3, 10.0, 100.0, 100.0, 80.0, R
4, 10.0, 100.0, 100.0, 80.0, N
5, 10.0, 100.0, 100.0, 80.0, R
