Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 90.0; 11.0; 5.5; 80.0; DU
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; Q
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
5; 85.0; 22.0; 16.5; 80.0; N
6; 80.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 90.0; 11.0; 5.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; DU
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; DU
3; 90.0; 11.0; 5.5; 80.0; N
4; 95.0; 11.0; 5.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; N
4; 95.0; 11.0; 5.5; 80.0; R
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; N
3; 90.0; 5.5; 0.0; 80.0; N
4; 90.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; R
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; N
4; 95.0; 11.0; 5.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 80.0; 11.0; 5.5; 80.0; N
3; 90.0; 5.5; 0.0; 80.0; N
4; 90.0; 0.0; 0.0; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 80.0; 11.0; 5.5; 80.0; N
3; 90.0; 5.5; 0.0; 80.0; N
4; 90.0; 0.0; 0.0; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; N
3; 85.0; 16.5; 5.5; 80.0; N
4; 80.0; 22.0; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 75.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; DU
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; N
4; 95.0; 11.0; 5.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; R
1; 75.0; 11.0; 5.5; 80.0; R
2; 70.0; 16.5; 16.5; 80.0; N
3; 75.0; 22.0; 16.5; 80.0; N
4; 70.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; N
4; 95.0; 11.0; 5.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; Q
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; N
4; 95.0; 11.0; 5.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; DU
4; 85.0; 16.5; 16.5; 80.0; R
5; 80.0; 27.5; 22.0; 80.0; DU
6; 75.0; 33.0; 33.0; 80.0; N
7; 75.0; 38.5; 33.0; 80.0; N
8; 70.0; 44.0; 44.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; DU
4; 95.0; 11.0; 5.5; 80.0; R
5; 90.0; 22.0; 11.0; 80.0; N
6; 95.0; 22.0; 11.0; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; R
4; 80.0; 5.5; 11.0; 80.0; END
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; DU
3; 90.0; 11.0; 5.5; 80.0; N
4; 85.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 80.0; 11.0; 5.5; 80.0; N
3; 85.0; 16.5; 5.5; 80.0; N
4; 80.0; 22.0; 16.5; 80.0; DU
5; 90.0; 16.5; 11.0; 80.0; N
6; 90.0; 11.0; 11.0; 80.0; DU
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; N
3; 90.0; 5.5; 0.0; 80.0; Q
4; 95.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 90.0; 11.0; 5.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; R
4; 95.0; 11.0; 5.5; 80.0; N
5; 100.0; 16.5; 5.5; 80.0; N
6; 95.0; 22.0; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; DU
3; 85.0; 16.5; 5.5; 80.0; N
4; 90.0; 11.0; 5.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; DU
3; 90.0; 11.0; 5.5; 80.0; N
4; 85.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; N
4; 95.0; 11.0; 5.5; 80.0; R
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 80.0; 11.0; 11.0; 80.0; N
4; 80.0; 5.5; 11.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; DU
5; 85.0; 22.0; 16.5; 80.0; N
6; 80.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; DU
3; 85.0; 16.5; 5.5; 80.0; N
4; 90.0; 11.0; 5.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; DU
4; 85.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; R
4; 85.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; R
3; 65.0; 27.5; 22.0; 80.0; DU
4; 70.0; 27.5; 22.0; 80.0; R
5; 80.0; 22.0; 16.5; 80.0; N
6; 80.0; 16.5; 16.5; 80.0; N
7; 75.0; 27.5; 22.0; 80.0; DU
8; 80.0; 27.5; 22.0; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; N
3; 85.0; 16.5; 5.5; 80.0; N
4; 80.0; 22.0; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; N
4; 85.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; R
3; 65.0; 27.5; 22.0; 80.0; N
4; 70.0; 27.5; 22.0; 80.0; N
5; 70.0; 33.0; 22.0; 80.0; N
6; 65.0; 38.5; 33.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; Q
4; 80.0; 16.5; 16.5; 80.0; N
5; 85.0; 22.0; 16.5; 80.0; N
6; 80.0; 27.5; 27.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; R
2; 95.0; 0.0; 0.0; 80.0; END
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; DU
4; 95.0; 11.0; 5.5; 80.0; R
5; 90.0; 22.0; 11.0; 80.0; N
6; 95.0; 22.0; 11.0; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; N
3; 90.0; 5.5; 0.0; 80.0; N
4; 90.0; 0.0; 0.0; 80.0; DU
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; Q
3; 90.0; 11.0; 5.5; 80.0; DU
4; 95.0; 11.0; 5.5; 80.0; N
5; 95.0; 16.5; 5.5; 80.0; DU
6; 90.0; 22.0; 16.5; 80.0; END
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; Q
3; 70.0; 22.0; 16.5; 80.0; N
4; 75.0; 16.5; 16.5; 80.0; DU
5; 85.0; 11.0; 11.0; 80.0; Q
6; 90.0; 5.5; 5.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; DU
4; 85.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; R
4; 95.0; 11.0; 5.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; Q
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; DU
5; 75.0; 22.0; 22.0; 80.0; N
6; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; N
3; 80.0; 16.5; 5.5; 80.0; DU
4; 75.0; 22.0; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 75.0; 22.0; 16.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; DU
2; 70.0; 16.5; 16.5; 80.0; N
3; 75.0; 22.0; 16.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; Q
3; 85.0; 11.0; 5.5; 80.0; N
4; 90.0; 11.0; 5.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; R
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; DU
4; 95.0; 11.0; 5.5; 80.0; N
5; 95.0; 16.5; 5.5; 80.0; N
6; 100.0; 11.0; 5.5; 80.0; DU
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 90.0; 11.0; 5.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 70.0; 22.0; 16.5; 80.0; N
4; 65.0; 27.5; 27.5; 80.0; Q
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; N
3; 90.0; 5.5; 0.0; 80.0; N
4; 90.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; DU
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 70.0; 16.5; 16.5; 80.0; N
3; 75.0; 22.0; 16.5; 80.0; DU
4; 80.0; 16.5; 16.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 95.0; 0.0; 0.0; 80.0; N
3; 90.0; 11.0; 5.5; 80.0; DU
4; 95.0; 11.0; 5.5; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 90.0; 11.0; 5.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; R
2; 80.0; 11.0; 5.5; 80.0; N
3; 80.0; 16.5; 5.5; 80.0; N
4; 75.0; 22.0; 16.5; 80.0; DU
5; 85.0; 16.5; 11.0; 80.0; R
6; 90.0; 11.0; 5.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; N
3; 85.0; 16.5; 5.5; 80.0; R
4; 80.0; 22.0; 16.5; 80.0; END
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; R
3; 85.0; 11.0; 5.5; 80.0; END
4; 80.0; 16.5; 16.5; 80.0; N
5; 85.0; 22.0; 16.5; 80.0; N
6; 80.0; 27.5; 27.5; 80.0; N
1; 75.0; 11.0; 5.5; 80.0; N
2; 80.0; 11.0; 5.5; 80.0; N
3; 90.0; 5.5; 0.0; 80.0; DU
4; 90.0; 0.0; 0.0; 80.0; N
1; 90.0; 0.0; 0.0; 80.0; N
2; 90.0; 0.0; 0.0; 80.0; N
3; 85.0; 11.0; 5.5; 80.0; N
4; 80.0; 16.5; 16.5; 80.0; DU
