pTypeV.coef_talktive; pTypeV.coef_aggressive; pTypeV.coef_chaotic; pTypeV.init_talk; pTypeV.init_aggr; pTypeV.init_dist; init_tr; probDU; probR; Doctor's Actions; pt_Trust; pt_Dist; pt_Talk; pt_Aggr; stat_Aggr; stat_Dist; dialSt
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
0.8; 0.0; 0.0; 80.0; 0.0; 0.0; 80.0; 0.1; 0.3;4; 100.0; 0.0; 80.0; 0.0; false; false; N
