Doctor's Actions, pt_Trust, pt_Dist, pt_Aggr, pt_Talk, dialStatus
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, R
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, DU
6, 65.0, 33.0, 18.700000000000003, 80.0, END
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, DU
2, 70.0, 11.0, 11.0, 80.0, N
3, 70.0, 16.5, 14.3, 80.0, DU
4, 70.0, 22.0, 17.6, 80.0, N
5, 70.0, 27.5, 17.6, 80.0, N
6, 65.0, 33.0, 20.900000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, Q
2, 70.0, 11.0, 11.0, 80.0, N
3, 70.0, 16.5, 14.3, 80.0, R
4, 70.0, 22.0, 17.6, 80.0, N
5, 70.0, 27.5, 17.6, 80.0, N
6, 65.0, 33.0, 20.900000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, Q
2, 70.0, 11.0, 11.0, 80.0, N
3, 70.0, 16.5, 14.3, 80.0, DU
4, 70.0, 22.0, 17.6, 80.0, Q
5, 70.0, 27.5, 20.900000000000002, 80.0, N
6, 70.0, 33.0, 20.900000000000002, 80.0, N
7, 65.0, 38.5, 24.200000000000003, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, DU
4, 75.0, 22.0, 8.8, 80.0, END
5, 70.0, 27.5, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, DU
4, 75.0, 22.0, 8.8, 80.0, N
5, 70.0, 27.5, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, R
4, 75.0, 22.0, 15.400000000000002, 80.0, N
5, 75.0, 27.5, 15.400000000000002, 80.0, N
6, 70.0, 33.0, 18.700000000000003, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, Q
2, 70.0, 11.0, 11.0, 80.0, N
3, 70.0, 16.5, 14.3, 80.0, DU
4, 70.0, 22.0, 17.6, 80.0, N
5, 70.0, 27.5, 17.6, 80.0, N
6, 65.0, 33.0, 20.900000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, R
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, DU
5, 75.0, 27.5, 12.100000000000001, 80.0, N
6, 70.0, 33.0, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, DU
5, 65.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, DU
5, 65.0, 27.5, 15.400000000000002, 80.0, END
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, DU
4, 75.0, 22.0, 8.8, 80.0, N
5, 70.0, 27.5, 12.100000000000001, 80.0, DU
6, 65.0, 33.0, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, Q
5, 65.0, 27.5, 15.400000000000002, 80.0, R
6, 60.0, 33.0, 18.700000000000003, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, DU
2, 70.0, 11.0, 11.0, 80.0, N
3, 70.0, 16.5, 14.3, 80.0, N
4, 70.0, 22.0, 14.3, 80.0, N
5, 65.0, 27.5, 17.6, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, DU
5, 75.0, 27.5, 12.100000000000001, 80.0, END
6, 70.0, 33.0, 15.400000000000002, 80.0, R
7, 65.0, 38.5, 18.700000000000003, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, Q
2, 70.0, 11.0, 11.0, 80.0, N
3, 70.0, 16.5, 14.3, 80.0, N
4, 70.0, 22.0, 14.3, 80.0, DU
5, 70.0, 27.5, 14.3, 80.0, N
6, 65.0, 33.0, 17.6, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, R
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, R
6, 65.0, 33.0, 18.700000000000003, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, DU
2, 70.0, 11.0, 11.0, 80.0, N
3, 70.0, 16.5, 14.3, 80.0, N
4, 70.0, 22.0, 14.3, 80.0, R
5, 70.0, 27.5, 14.3, 80.0, END
6, 65.0, 33.0, 17.6, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, DU
5, 65.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, R
2, 70.0, 11.0, 11.0, 80.0, END
3, 70.0, 16.5, 14.3, 80.0, N
4, 70.0, 22.0, 14.3, 80.0, N
5, 65.0, 27.5, 17.6, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, END
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, DU
4, 75.0, 22.0, 8.8, 80.0, N
5, 70.0, 27.5, 12.100000000000001, 80.0, DU
6, 65.0, 33.0, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, R
2, 70.0, 11.0, 11.0, 80.0, DU
3, 65.0, 16.5, 16.5, 80.0, N
4, 65.0, 22.0, 19.8, 80.0, N
5, 65.0, 27.5, 19.8, 80.0, R
6, 65.0, 33.0, 19.8, 80.0, N
7, 60.0, 38.5, 23.1, 80.0, DU
8, 55.0, 44.0, 26.400000000000002, 80.0, END
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, R
2, 70.0, 11.0, 11.0, 80.0, N
3, 70.0, 16.5, 14.3, 80.0, DU
4, 70.0, 22.0, 17.6, 80.0, N
5, 70.0, 27.5, 17.6, 80.0, DU
6, 70.0, 33.0, 17.6, 80.0, N
7, 65.0, 38.5, 20.900000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, Q
5, 75.0, 27.5, 12.100000000000001, 80.0, R
6, 75.0, 33.0, 12.100000000000001, 80.0, N
7, 70.0, 38.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, DU
2, 70.0, 11.0, 11.0, 80.0, N
3, 70.0, 16.5, 14.3, 80.0, N
4, 70.0, 22.0, 14.3, 80.0, N
5, 65.0, 27.5, 17.6, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, Q
5, 65.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, DU
6, 65.0, 33.0, 18.700000000000003, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, R
3, 75.0, 16.5, 12.100000000000001, 80.0, END
4, 75.0, 22.0, 12.100000000000001, 80.0, N
5, 70.0, 27.5, 15.400000000000002, 80.0, R
6, 65.0, 33.0, 18.700000000000003, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, DU
3, 75.0, 16.5, 12.100000000000001, 80.0, N
4, 75.0, 22.0, 12.100000000000001, 80.0, R
5, 75.0, 27.5, 12.100000000000001, 80.0, N
6, 70.0, 33.0, 15.400000000000002, 80.0, R
7, 65.0, 38.5, 18.700000000000003, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, DU
5, 65.0, 27.5, 15.400000000000002, 80.0, END
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, N
4, 70.0, 22.0, 12.100000000000001, 80.0, DU
5, 65.0, 27.5, 15.400000000000002, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
2, 75.0, 11.0, 8.8, 80.0, N
3, 75.0, 16.5, 8.8, 80.0, Q
4, 75.0, 22.0, 8.8, 80.0, R
5, 75.0, 27.5, 8.8, 80.0, N
6, 70.0, 33.0, 12.100000000000001, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, DU
2, 70.0, 11.0, 11.0, 80.0, END
3, 70.0, 16.5, 14.3, 80.0, N
4, 70.0, 22.0, 14.3, 80.0, DU
5, 70.0, 27.5, 14.3, 80.0, N
6, 65.0, 33.0, 17.6, 80.0, N
1, 75.0, 5.5, 5.5, 80.0, N
